Number of words,2415830
Number of unique words,84141
Average word frequency,28.711686
Entropy,7.469870

Word,Frequency,Proportion,Entropy Term
accurate,1349,0.000558,0.004183
listing,2012,0.000833,0.005905
host,24114,0.009982,0.045986
contacted,287,0.000119,0.001074
check,5185,0.002146,0.013187
easy,12913,0.005345,0.027964
read,443,0.000183,0.001578
manual,119,0.000049,0.000489
instructions,1689,0.000699,0.005080
great,55032,0.022780,0.086150
hosts,7535,0.003119,0.017997
perfect,15814,0.006546,0.032919
place,47402,0.019621,0.077134
clean,26710,0.011056,0.049806
location,27552,0.011405,0.051022
ideal,1119,0.000463,0.003556
close,11365,0.004704,0.025212
hollywood,6863,0.002841,0.016658
quiet,10025,0.004150,0.022760
wc,123,0.000051,0.000503
elly,94,0.000039,0.000395
left,2610,0.001080,0.007379
goodies,168,0.000070,0.000666
fridge,1427,0.000591,0.004391
appreciated,1575,0.000652,0.004782
long,2395,0.000991,0.006857
flight,894,0.000370,0.002924
uk,37,0.000015,0.000170
definitely,14605,0.006046,0.030883
recommend,16122,0.006673,0.033432
friends,2724,0.001128,0.007654
spędziłam,1,0.000000,0.000006
w,166,0.000069,0.000659
mieszkaniu,1,0.000000,0.000006
tydzień,1,0.000000,0.000006
był,3,0.000001,0.000017
dla,2,0.000001,0.000012
mnie,3,0.000001,0.000017
wspaniały,1,0.000000,0.000006
czas,2,0.000001,0.000012
los,2775,0.001149,0.007776
angeles,2253,0.000933,0.006507
na,76,0.000031,0.000326
pewno,1,0.000000,0.000006
jeszcze,1,0.000000,0.000006
wrócę,1,0.000000,0.000006
mieszkanko,1,0.000000,0.000006
jest,6,0.000002,0.000032
urocze,1,0.000000,0.000006
idealne,1,0.000000,0.000006
taki,2,0.000001,0.000012
pobyt,3,0.000001,0.000017
świetnie,1,0.000000,0.000006
wyposażone,1,0.000000,0.000006
bardzo,16,0.000007,0.000079
ładnie,2,0.000001,0.000012
urządzone,1,0.000000,0.000006
lokalizacja,2,0.000001,0.000012
idealna,1,0.000000,0.000006
zwiedzania,1,0.000000,0.000006
miasta,1,0.000000,0.000006
lubiłam,1,0.000000,0.000006
siedzieć,1,0.000000,0.000006
wieczorem,1,0.000000,0.000006
uroczym,1,0.000000,0.000006
balkoniecałym,1,0.000000,0.000006
sercem,1,0.000000,0.000006
mogę,2,0.000001,0.000012
polecić,1,0.000000,0.000006
każdemu,1,0.000000,0.000006
kto,1,0.000000,0.000006
ceni,1,0.000000,0.000006
sobie,1,0.000000,0.000006
przytulne,1,0.000000,0.000006
miejsca,2,0.000001,0.000012
których,1,0.000000,0.000006
może,1,0.000000,0.000006
czuć,1,0.000000,0.000006
się,7,0.000003,0.000037
jak,2,0.000001,0.000012
domu,4,0.000002,0.000022
własne,1,0.000000,0.000006
miejsce,1,0.000000,0.000006
parkingowe,1,0.000000,0.000006
la,18905,0.007825,0.037956
bezcenne,1,0.000000,0.000006
wonderful,9086,0.003761,0.020998
stay,47258,0.019562,0.076960
ellys,36,0.000015,0.000166
bungalow,974,0.000403,0.003151
extremely,3740,0.001548,0.010017
walk,6847,0.002834,0.016626
fame,617,0.000255,0.002113
heart,1095,0.000453,0.003490
approx,24,0.000010,0.000114
meters,50,0.000021,0.000223
having,2675,0.001107,0.007536
